left_path,right_path,depth,head_sizes_left,head_sizes_right,real_head_size_cm
calibration7/cam1/frame_137.jpg,calibration7/cam2/frame_137.jpg,228.37,128.5903009414673,124.09425373077393,22
calibration7/cam1/frame_138.jpg,calibration7/cam2/frame_138.jpg,232.17,127.5221815109253,123.42883987426758,22
calibration7/cam1/frame_139.jpg,calibration7/cam2/frame_139.jpg,230.67,126.0978229522705,125.01269989013672,22
calibration7/cam1/frame_140.jpg,calibration7/cam2/frame_140.jpg,229.42,126.93594760894776,126.79625473022462,22
calibration7/cam1/frame_141.jpg,calibration7/cam2/frame_141.jpg,233.51,128.26103496551514,126.06371784210205,22
calibration7/cam1/frame_142.jpg,calibration7/cam2/frame_142.jpg,234.82,129.2070848464966,126.4953535079956,22
calibration7/cam1/frame_143.jpg,calibration7/cam2/frame_143.jpg,235.83,129.36406402587892,129.1802095413208,22
calibration7/cam1/frame_144.jpg,calibration7/cam2/frame_144.jpg,233.27,129.73193607330322,130.99491233825685,22
calibration7/cam1/frame_145.jpg,calibration7/cam2/frame_145.jpg,236.71,130.1107234954834,131.77193698883056,22
calibration7/cam1/frame_146.jpg,calibration7/cam2/frame_146.jpg,239.70,132.03392772674562,131.6969644546509,22
calibration7/cam1/frame_147.jpg,calibration7/cam2/frame_147.jpg,233.54,133.57927951812744,131.5275260925293,22
calibration7/cam1/frame_148.jpg,calibration7/cam2/frame_148.jpg,250.55,133.8196243286133,128.65424938201906,22
calibration7/cam1/frame_149.jpg,calibration7/cam2/frame_149.jpg,252.18,134.5735897064209,128.35872974395753,22
calibration7/cam1/frame_150.jpg,calibration7/cam2/frame_150.jpg,241.63,132.7838270187378,128.3769727706909,22
calibration7/cam1/frame_151.jpg,calibration7/cam2/frame_151.jpg,247.99,132.35587692260742,130.9218641281128,22
calibration7/cam1/frame_152.jpg,calibration7/cam2/frame_152.jpg,253.14,130.1911319732666,133.3548185348511,22
calibration7/cam1/frame_153.jpg,calibration7/cam2/frame_153.jpg,249.61,128.28903007507324,134.32436256408693,22
calibration7/cam1/frame_154.jpg,calibration7/cam2/frame_154.jpg,241.18,132.3665205001831,134.97302284240723,22
calibration7/cam1/frame_155.jpg,calibration7/cam2/frame_155.jpg,232.80,135.39626541137696,135.2062791824341,22
calibration7/cam1/frame_156.jpg,calibration7/cam2/frame_156.jpg,223.66,136.70709972381593,133.2787914276123,22
calibration7/cam1/frame_157.jpg,calibration7/cam2/frame_157.jpg,223.37,131.47022037506105,133.45170879364014,22
calibration7/cam1/frame_158.jpg,calibration7/cam2/frame_158.jpg,227.83,131.5454429626465,133.50183906555176,22
calibration7/cam1/frame_159.jpg,calibration7/cam2/frame_159.jpg,229.89,133.36178741455078,133.32274646759035,22
calibration7/cam1/frame_160.jpg,calibration7/cam2/frame_160.jpg,236.22,132.64784145355225,135.2225326538086,22
calibration7/cam1/frame_161.jpg,calibration7/cam2/frame_161.jpg,238.79,131.7655225753784,134.9701961517334,22
calibration7/cam1/frame_162.jpg,calibration7/cam2/frame_162.jpg,242.95,130.86257972717286,133.18938102722169,22
calibration7/cam1/frame_163.jpg,calibration7/cam2/frame_163.jpg,240.35,130.22255172729493,134.2454435348511,22
calibration7/cam1/frame_164.jpg,calibration7/cam2/frame_164.jpg,239.05,130.1182577133179,132.58703498840333,22
calibration7/cam1/frame_165.jpg,calibration7/cam2/frame_165.jpg,231.20,133.01056022644045,131.26934051513672,22
calibration7/cam1/frame_166.jpg,calibration7/cam2/frame_166.jpg,229.20,130.26849632263185,131.36742668151857,22
calibration7/cam1/frame_167.jpg,calibration7/cam2/frame_167.jpg,226.76,133.0165506362915,131.53903942108155,22
calibration7/cam1/frame_168.jpg,calibration7/cam2/frame_168.jpg,225.31,133.64783763885498,132.81264839172363,22
calibration7/cam1/frame_169.jpg,calibration7/cam2/frame_169.jpg,227.85,134.81597843170167,137.4402889251709,22
calibration7/cam1/frame_170.jpg,calibration7/cam2/frame_170.jpg,225.71,136.2946746826172,138.6384578704834,22
calibration7/cam1/frame_171.jpg,calibration7/cam2/frame_171.jpg,226.33,138.88482570648193,138.99630603790283,22
calibration7/cam1/frame_172.jpg,calibration7/cam2/frame_172.jpg,220.64,142.32005939483642,140.27494869232177,22
calibration7/cam1/frame_173.jpg,calibration7/cam2/frame_173.jpg,219.53,140.7833724975586,138.36125736236573,22
calibration7/cam1/frame_174.jpg,calibration7/cam2/frame_174.jpg,214.55,144.26559448242188,142.2106664657593,22
calibration7/cam1/frame_175.jpg,calibration7/cam2/frame_175.jpg,213.02,142.73321285247803,140.65631275177003,22
calibration7/cam1/frame_176.jpg,calibration7/cam2/frame_176.jpg,214.93,144.05821323394775,141.3998628616333,22
calibration7/cam1/frame_177.jpg,calibration7/cam2/frame_177.jpg,212.90,142.9538034439087,140.4659351348877,22
calibration7/cam1/frame_178.jpg,calibration7/cam2/frame_178.jpg,214.14,141.71409301757814,137.34994354248047,22
calibration7/cam1/frame_179.jpg,calibration7/cam2/frame_179.jpg,213.18,136.00054664611818,134.4837661743164,22
calibration7/cam1/frame_180.jpg,calibration7/cam2/frame_180.jpg,210.54,134.4520528793335,134.81258640289306,22
calibration7/cam1/frame_181.jpg,calibration7/cam2/frame_181.jpg,216.86,133.95406608581544,135.34025344848632,22
calibration7/cam1/frame_182.jpg,calibration7/cam2/frame_182.jpg,218.19,134.95994396209719,137.47652492523193,22
calibration7/cam1/frame_183.jpg,calibration7/cam2/frame_183.jpg,214.12,133.49719676971435,140.11903495788576,22
calibration7/cam1/frame_184.jpg,calibration7/cam2/frame_184.jpg,216.56,134.79646339416504,139.64687976837158,22
calibration7/cam1/frame_185.jpg,calibration7/cam2/frame_185.jpg,220.55,132.6470151901245,139.45978546142578,22
calibration7/cam1/frame_186.jpg,calibration7/cam2/frame_186.jpg,217.82,129.93008708953857,137.77416458129883,22
calibration7/cam1/frame_187.jpg,calibration7/cam2/frame_187.jpg,214.47,127.03668651580811,135.88775081634523,22
calibration7/cam1/frame_188.jpg,calibration7/cam2/frame_188.jpg,212.25,128.15995903015138,138.77431297302246,22
calibration7/cam1/frame_189.jpg,calibration7/cam2/frame_189.jpg,216.09,129.71183395385742,138.58678379058838,22
calibration7/cam1/frame_190.jpg,calibration7/cam2/frame_190.jpg,223.03,129.8849796295166,137.91069374084472,22
calibration7/cam1/frame_191.jpg,calibration7/cam2/frame_191.jpg,223.56,129.51024742126467,139.02746486663818,22
calibration7/cam1/frame_192.jpg,calibration7/cam2/frame_192.jpg,220.71,131.2649700164795,137.13108158111572,22
calibration7/cam1/frame_193.jpg,calibration7/cam2/frame_193.jpg,223.82,130.29482803344726,137.76782627105715,22
calibration7/cam1/frame_194.jpg,calibration7/cam2/frame_194.jpg,217.63,129.38804740905763,136.6555778503418,22
calibration7/cam1/frame_195.jpg,calibration7/cam2/frame_195.jpg,228.97,130.26019020080568,135.9079942703247,22
calibration7/cam1/frame_196.jpg,calibration7/cam2/frame_196.jpg,225.87,131.37654819488526,137.8144775390625,22
calibration7/cam1/frame_197.jpg,calibration7/cam2/frame_197.jpg,226.53,130.43335762023926,138.28830699920655,22
